C1:1
C16:1
C17:1
C2:1
C22:1
C3:1
C4:1
C5:1
CBYP1:1
CIN1:1
CIN2:1
COUT1:1
CREF1:1
CSTOR1:1
D1:1
J1:1
J10:1
J13:1
J19:1
J2:1
J3:1
J4:1
J9:1
LBOOST1:1
LBUCK1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
ROK1:1
ROK1B1:1
ROK2:1
ROK2B1:1
ROK3:1
ROK3B1:1
ROUT1:1
ROUT1B1:1
ROUT2:1
ROUT2B1:1
ROV1:1
ROV1B1:1
ROV2:1
ROV2B1:1
SW1:1
SW2:1
SW3:1
U1:1
U2:1
U3:1
U5:1
